Area,Company,Date,VarAll,ValueAll
中南区 ZHOU YONG SHUN,1504长沙正大有限公司益阳水产分公司,2020-04-01,1总产量颗粒料产量,2326.92
中南区 ZHOU YONG SHUN,1515衡阳饲料,2020-04-01,1总产量颗粒料产量,14646.34
中南区 ZHOU YONG SHUN,0802南昌正大,2020-04-01,1总产量颗粒料产量,6024.56
中南区 ZHOU YONG SHUN,0803九江正大,2020-04-01,1总产量颗粒料产量,6992.052
中南区 ZHOU YONG SHUN,0604南宁正大,2020-04-01,1总产量颗粒料产量,12895.89
中南区 ZHOU YONG SHUN,0661武宣正大,2020-04-01,1总产量颗粒料产量,6895.68
中南区 ZHOU YONG SHUN,0613桂林正大,2020-04-01,1总产量颗粒料产量,5934.36
中南区 ZHOU YONG SHUN,0821阳江正大,2020-04-01,1总产量颗粒料产量,732.96
中南区 ZHOU YONG SHUN,0619卜蜂水产（北海）,2020-04-01,1总产量颗粒料产量,2014.645
西南区 BAI YU FEI,0601成都正大,2020-04-01,1总产量颗粒料产量,22693.89
西南区 BAI YU FEI,0603昆明正大,2020-04-01,1总产量颗粒料产量,10178.57
西南区 BAI YU FEI,0659大理正大,2020-04-01,1总产量颗粒料产量,7596.98
西南区 BAI YU FEI,0605内江正大,2020-04-01,1总产量颗粒料产量,13036.24
西南区 BAI YU FEI,0607双流正大,2020-04-01,1总产量颗粒料产量,6817.125
西南区 BAI YU FEI,0612绵阳正大,2020-04-01,1总产量颗粒料产量,19902.03
西南区 BAI YU FEI,0602重庆正大,2020-04-01,1总产量颗粒料产量,14771.45
西南区 BAI YU FEI,0609双桥正大,2020-04-01,1总产量颗粒料产量,12720.47
西南区 BAI YU FEI,0621贵阳正大,2020-04-01,1总产量颗粒料产量,13039.12
西南区 BAI YU FEI,0616广安正大,2020-04-01,1总产量颗粒料产量,9846.07
京津冀区 LI QING HE,0107石家庄正大,2020-04-01,1总产量颗粒料产量,6401.28
京津冀区 LI QING HE,0110邯郸正大,2020-04-01,1总产量颗粒料产量,1131.12
京津冀区 LI QING HE,0114天津农牧,2020-04-01,1总产量颗粒料产量,9822.9
山东江苏区 JIANG BO,0424青岛农业,2020-04-01,1总产量颗粒料产量,12072.327
山东江苏区 JIANG BO,0405徐州正大,2020-04-01,1总产量颗粒料产量,5376.56
山东江苏区 JIANG BO,0407连云港正大,2020-04-01,1总产量颗粒料产量,14167.77
山东江苏区 JIANG BO,0408南通正大,2020-04-01,1总产量颗粒料产量,18023.035
山东江苏区 JIANG BO,0410泰州正大,2020-04-01,1总产量颗粒料产量,3840.145
山东江苏区 JIANG BO,0412淮阴正大,2020-04-01,1总产量颗粒料产量,21203.09
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-05-01,1总产量颗粒料产量,7659.33
一条龙 YU JIAN PING,1412青岛科德饲料,2020-05-01,1总产量颗粒料产量,7777.56
一条龙 YU JIAN PING,0846湛江饲料,2020-05-01,1总产量颗粒料产量,6784.62
一条龙 YU JIAN PING,0175衡水正大,2020-05-01,1总产量颗粒料产量,1661.781
